era_id,re_median,adj_factor
air,0.92,1.0267857142857144
pre_stryd,0.917,1.0234375
repl,0.94,1.0491071428571428
s4,0.896,1.0
s5,0.889,0.9921875
v1,0.9795,1.0931919642857144
v1_late,0.948,1.0580357142857142
