file,start_time,sport,distance_km,duration_min,ascent_m,descent_m,gps_present,is_marathon_like
fits/2013-09-10_16-25-32_f889275cdf.fit,2013-09-10 16:25:32,running,9.50133,49.18748333333333,100.0,99.0,True,False
fits/2013-09-12_06-12-47_350f27c4b2.fit,2013-09-12 06:12:47,running,14.006639999999999,73.11905,185.0,201.0,True,False
fits/2013-09-15_07-16-04_16b9467801.fit,2013-09-15 07:16:04,running,16.00365,82.46078333333334,48.0,53.0,True,False
fits/2013-09-18_08-55-44_189941edd0.fit,2013-09-18 08:55:44,running,14.40385,77.7675,160.0,154.0,True,False
fits/2013-09-22_08-32-46_388dc921e2.fit,2013-09-22 08:32:46,running,18.00138,91.93036666666667,102.0,96.0,True,False
fits/2013-09-24_06-23-49_7608698de6.fit,2013-09-24 06:23:49,running,8.003350000000001,42.55416666666667,78.0,79.0,True,False
fits/2013-09-29_08-42-13_6d2f261bd2.fit,2013-09-29 08:42:13,running,21.20545,113.65796666666667,216.0,217.0,True,False
fits/2013-10-03_17-59-52_4c76d6de83.fit,2013-10-03 17:59:52,running,7.7863500000000005,41.926633333333335,39.0,45.0,True,False
fits/2013-10-06_09-57-08_9e77a7a587.fit,2013-10-06 09:57:08,running,9.88674,45.875816666666665,85.0,85.0,True,False
fits/2013-10-08_13-28-44_2169c4d31a.fit,2013-10-08 13:28:44,running,8.70781,46.089150000000004,48.0,45.0,True,False
fits/2013-10-10_16-02-04_697a39663c.fit,2013-10-10 16:02:04,running,6.00361,27.421216666666666,44.0,30.0,True,False
fits/2013-10-12_12-17-26_eb41b72027.fit,2013-10-12 12:17:26,running,11.31628,80.40841666666667,441.0,441.0,True,False
fits/2013-10-16_07-16-08_739ea0fe50.fit,2013-10-16 07:16:08,running,11.0093,55.53041666666666,27.0,26.0,True,False
fits/2013-10-20_11-12-44_bc4f12b010.fit,2013-10-20 11:12:44,running,18.69082,93.17373333333333,80.0,79.0,True,False
fits/2013-10-24_07-28-22_5d75a6f103.fit,2013-10-24 07:28:22,running,10.004430000000001,54.43835,64.0,72.0,True,False
fits/2013-11-06_11-28-18_76647172c3.fit,2013-11-06 11:28:18,running,10.002780000000001,49.745400000000004,48.0,48.0,True,False
fits/2013-11-08_09-35-59_b6946a59da.fit,2013-11-08 09:35:59,running,4.00581,17.80956666666667,92.0,29.0,True,False
fits/2013-11-10_10-35-57_5b28e40636.fit,2013-11-10 10:35:57,running,9.54947,47.44598333333333,40.0,56.0,True,False
fits/2013-11-13_10-10-42_877d0445f5.fit,2013-11-13 10:10:42,running,11.65752,60.3474,46.0,14.0,True,False
fits/2013-11-17_10-29-33_dda845752c.fit,2013-11-17 10:29:33,running,17.51161,90.85081666666666,251.0,240.0,True,False
