Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature,,,,,
1765092519,0,0,0,1.297,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,78,27,,,2,1.044092352,1.882483919
1765092520,0,0,0,1.297,0,2.74,0,0,0,0,0,0,4.2,0,0,0,0,0,0,78,27,,,3,,
1765092521,1.855263158,0,0,2.258,0,5.67,0,0,0,0,120,0,4.2,0,0,0,0,0,0,78,27,,,4,,
1765092522,2.197368421,0.802631579,0,2.258,0,9.43,0,0,0,402,142,5.5,4,0,0,0,0,0,5.764715747,78,27,,,5,,
1765092523,2.407894737,0.802631579,0.039473684,2.258,0,12.34,0,0,0,370,146,5.75,4,0,0,0,0,0,6.19645455,78,27,,,6,,
1765092524,2.421052632,0.855263158,0.039473684,2.501,0,15.49,0,9.875,0.129934211,344,152,5.62,4,0,0,0,0,0,5.692638062,78,27,,,7,,
1765092525,2.434210526,0.894736842,0.039473684,3.042,0,18.22,0,9.625,0.126644737,334,154,5.87,4,0,0,0,0,0,4.952792379,78,27,,,8,,
1765092526,2.5,0.894736842,0.039473684,3.042,0,20.94,0,9.625,0.126644737,324,158,5.75,4,0,0,0,0,0,4.977536163,80,27,,,9,,
1765092527,2.789473684,0.894736842,0.039473684,3.023,0,23.37,0,9.625,0.126644737,298,168,5.87,4,0,0,0,0,0,5.436997518,81,27,,,10,,
1765092528,2.947368421,0.934210526,0.039473684,2.874,0,26.11,0,9.875,0.129934211,292,172,5.62,4,0,0,0,0,0,5.605649537,83,27,,,11,,
1765092529,3.078947368,0.934210526,0.065789474,2.874,0,29.9,0,9.875,0.129934211,288,172,5.75,4,0,0,0,0,0,5.735317587,84,27,,,12,,
1765092530,3.092105263,0.934210526,0.078947368,2.986,0,32.64,0,9.875,0.129934211,288,174,5.62,4,0,0,0,0,0,5.458112387,85,27,,,13,,
1765092531,3.065789474,0.921052632,0.078947368,3.107,0,35.78,0,9.875,0.129934211,282,174,5.75,4,0,0,0,0,0,5.366909967,87,27,,,14,,
1765092532,3.131578947,0.921052632,0.078947368,3.107,0,39.27,0,9.875,0.129934211,282,176,5.62,4,0,0,0,0,0,5.305891239,88,27,,,15,,
1765092533,3.131578947,0.921052632,0.078947368,3.163,0,42.27,0,10.125,0.133223684,282,176,5.62,4.2,0,0,0,0,0,5.211907632,89,27,,,16,,
1765092534,3.065789474,0.921052632,0.078947368,3.266,0,45.82,0,10.125,0.133223684,280,176,5.5,4.4,0,0,0,0,0,4.939779596,90,27,,,17,,
1765092535,2.973684211,0.921052632,0.065789474,3.163,0,48,0,10.25,0.134868421,278,176,5.62,4.4,0,0,0,0,0,5.211907632,92,27,,,18,,
1765092536,2.960526316,0.921052632,0.065789474,3.004,0,50.68,0,10.25,0.134868421,280,176,5.5,4.6,0,0,0,0,0,5.370621723,93,27,,,19,,
1765092537,3.026315789,0.921052632,0.065789474,2.976,0,53.33,0,10.25,0.134868421,278,176,5.62,4.6,0,0,0,0,0,5.539401705,94,27,,,20,,
1765092538,3.026315789,0.934210526,0.078947368,2.958,0,55.86,0,10.375,0.136513158,278,176,5.62,4.6,0,0,0,0,0,5.573129977,95,27,,,21,,
1765092539,2.986842105,0.934210526,0.078947368,2.958,0,58.83,0,10.25,0.134868421,282,174,5.75,4.6,0,0,0,0,0,5.637254902,96,27,,,22,,
1765092540,2.973684211,0.934210526,0.078947368,2.967,0,62.13,0,10.25,0.134868421,280,172,6,4.6,0,0,0,0,0,5.797101449,97,27,,,23,,
1765092541,2.960526316,0.934210526,0.078947368,3.004,0,64.87,0,10.25,0.134868421,282,172,6.12,4.6,0,0,0,0,0,5.8401962,98,27,,,24,,
1765092542,3,0.947368421,0.078947368,2.995,0,67.09,0,10.125,0.133223684,284,172,6.12,4.8,0,0,0,0,0,5.857748595,98,27,,,25,,
1765092543,2.973684211,0.947368421,0.092105263,2.939,0,68.26,0,10.125,0.133223684,284,170,6.12,5,0,0,0,0,0,5.899989395,99,27,,,26,,
1765092544,2.934210526,0.960526316,0.105263158,2.846,0,69.34,0,10.25,0.134868421,286,170,6.12,5,0,0,0,0,0,6.092765339,100,27,,,27,,
1765092545,2.934210526,0.947368421,0.105263158,2.762,0,71.31,0,10.25,0.134868421,288,170,6,5.2,0,0,0,0,0,6.154982458,101,27,,,28,,
1765092546,2.973684211,0.947368421,0.105263158,2.734,0,72.91,0,10.25,0.134868421,288,172,5.87,5.2,0,0,0,0,0,6.154846286,102,27,,,29,,
1765092547,3.026315789,0.947368421,0.105263158,2.407,0,73.96,0,10,0.131578947,290,172,5.75,5.2,0,0,0,0,0,6.848091467,103,26,,,30,,
1765092548,3.026315789,0.947368421,0.105263158,2.193,0,75.23,0,9.75,0.128289474,290,172,5.87,5.2,0,0,0,0,0,7.673202614,103,26,,2.26,31,,
1765092549,3.039473684,0.947368421,0.131578947,2.193,0,77.48,0,9.75,0.128289474,292,172,5.75,5.6,0,0,0,0,0,7.516339869,104,26,,2.33,32,,
1765092550,3.065789474,0.947368421,0.118421053,2.547,0,80.24,0,9.5,0.125,292,172,5.75,5.8,0,0,0,0,0,6.471654155,104,26,,2.39,33,,
1765092551,3.052631579,0.947368421,0.118421053,2.547,0,81.91,0,9.375,0.123355263,290,172,5.75,6,0,0,0,0,0,6.471654155,105,26,,2.40,34,,
1765092552,3.026315789,0.947368421,0.092105263,2.547,0,83.5,0,9.375,0.123355263,288,172,5.87,6,0,0,0,0,0,6.606714763,105,26,,2.40,35,,
1765092553,2.986842105,0.947368421,0.065789474,2.51,0,84.55,0,9.5,0.125,288,172,5.87,6,0,0,0,0,0,6.70412755,106,26,,2.39,36,,
1765092554,2.973684211,0.947368421,0.065789474,2.435,0,86.32,0,9.5,0.125,290,170,6,6,0,0,0,0,0,6.981533843,107,26,,2.38,37,,
1765092555,3.013157895,0.960526316,0.026315789,2.398,0,87.95,0,9.625,0.126644737,290,170,5.87,6,0,0,0,0,0,6.935664914,108,26,,2.37,38,,
1765092556,3.039473684,0.947368421,0.026315789,2.389,0,87.95,0,9.625,0.126644737,292,170,5.87,6.2,0,0,0,0,0,6.961740079,108,26,,2.36,39,,
1765092557,3.039473684,0.947368421,0.026315789,2.211,0,89.76,0,9.625,0.126644737,292,170,6,6.4,0,0,0,0,0,7.688857564,109,26,,2.35,40,,
1765092558,3.118421053,0.934210526,0.013157895,2.211,0,92.81,0,9.875,0.129934211,294,172,5.75,6.4,0,0,0,0,0,7.455139508,109,26,,2.33,41,,
1765092559,3.092105263,0.934210526,0.013157895,2.333,0,97.04,0,9.75,0.128289474,296,172,5.62,6.4,0,0,0,0,0,6.905534257,110,26,,2.31,42,,
1765092560,3.092105263,0.934210526,0.026315789,2.641,0,104.65,0,9.75,0.128289474,296,172,5.62,6.4,0,0,0,0,0,6.100208406,111,26,,2.29,43,,
1765092561,2.986842105,0.934210526,0.039473684,2.948,0,109,0,9.75,0.128289474,296,172,5.62,6.6,0,0,0,0,0,5.46495911,111,26,,2.27,44,,
1765092562,2.986842105,0.934210526,0.039473684,4.385,0,114.08,0,9.875,0.129934211,296,172,5.75,6.6,0,0,0,0,0,3.759029843,112,26,,2.25,45,,
