Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature
1765908169,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,149,25
1765908170,0,0,0,2.547,0,2.55,0,0,0,356,178,5.5,15.2,0,0,0,0,0,6.406224521,149,25
1765908171,3.065789474,0,0.039473684,2.893,0,5.44,0,0,0,312,180,5.5,15.2,0,0,0,0,0,5.703441768,149,25
1765908172,3.276315789,0.828947368,0.039473684,3.35,0,8.79,0,8.375,0.110197368,270,184,5.75,15.2,0,0,0,0,0,5.263687877,149,25
1765908173,3.407894737,0.828947368,0.039473684,3.35,0,12.14,0,8.375,0.110197368,260,184,5.75,15.2,0,0,0,0,0,5.263687877,150,25
1765908174,3.710526316,0.881578947,0.065789474,3.695,0,15.83,0,8.75,0.115131579,246,186,5.87,15.2,0,0,0,0,0,4.924744534,150,25
1765908175,3.802631579,0.907894737,0.065789474,3.984,0,19.82,0,9,0.118421053,242,186,6,15.2,0,0,0,0,0,4.668679386,150,25
1765908176,4.171052632,0.907894737,0.065789474,4.208,0,24.03,0,9,0.118421053,216,190,6,15,0,0,0,0,0,4.515216279,150,25
1765908177,4.421052632,1,0.078947368,4.339,0,28.37,0,9.625,0.126644737,214,190,6.12,15,0,0,0,0,0,4.466468643,151,25
1765908178,4.526315789,1,0.078947368,4.339,0,32.71,0,9.875,0.129934211,210,190,6.25,15,0,0,0,0,0,4.561344611,151,25
1765908179,4.565789474,1,0.065789474,4.311,0,37.02,0,9.875,0.129934211,210,190,6.25,15,0,0,0,0,0,4.590963515,152,25
1765908180,4.539473684,1,0.065789474,4.311,0,41.33,0,10.125,0.133223684,208,190,6.25,15,0,0,0,0,0,4.590963515,153,25
1765908181,4.578947368,1,0.065789474,4.329,0,45.66,0,10.375,0.136513158,206,190,6.25,15,0,0,0,0,0,4.571888373,154,25
1765908182,4.552631579,1,0.065789474,4.339,0,50,0,10.375,0.136513158,206,190,6.25,15,0,0,0,0,0,4.561344611,154,25
1765908183,4.460526316,1,0.065789474,4.329,0,54.32,0,10.625,0.139802632,206,190,6.37,15,0,0,0,0,0,4.65966863,154,25
1765908184,4.460526316,1,0.078947368,4.348,0,58.67,0,10.625,0.139802632,206,190,6.25,15,0,0,0,0,0,4.551909981,155,25
1765908185,4.473684211,1,0.092105263,4.367,0,63.04,0,10.75,0.141447368,204,190,6.37,15,0,0,0,0,0,4.619121859,154,25
1765908186,4.513157895,1,0.092105263,4.385,0,67.42,0,10.75,0.141447368,204,190,6.25,15,0,0,0,0,0,4.513482675,154,25
1765908187,4.513157895,1,0.105263158,4.348,0,71.77,0,10.75,0.141447368,204,190,6.25,15,0,0,0,0,0,4.551909981,155,25
1765908188,4.513157895,0.986842105,0.118421053,4.329,0,76.1,0,10.875,0.143092105,206,190,6.25,15,0,0,0,0,0,4.571888373,155,25
1765908189,4.513157895,0.986842105,0.118421053,4.301,0,80.4,0,10.625,0.139802632,208,190,6.12,15,0,0,0,0,0,4.5059306,155,25
1765908190,4.486842105,0.986842105,0.118421053,4.292,0,84.7,0,10.625,0.139802632,206,190,6.25,15,0,0,0,0,0,4.611286955,156,25
1765908191,4.421052632,0.986842105,0.105263158,4.264,0,88.96,0,10.5,0.138157895,208,190,6.25,15,0,0,0,0,0,4.641560158,158,25
1765908192,4.368421053,0.986842105,0.105263158,4.264,0,93.22,0,10.75,0.141447368,206,190,6.25,15.2,0,0,0,0,0,4.641560158,159,25
1765908193,4.25,0.986842105,0.065789474,4.217,0,97.44,0,10.75,0.141447368,206,188,6.37,15.2,0,0,0,0,0,4.733068321,160,24
1765908194,4.236842105,0.986842105,0.039473684,4.199,0,101.64,0,11,0.144736842,206,188,6.37,15.2,0,0,0,0,0,4.753341144,162,25
1765908195,4.210526316,0.986842105,0.039473684,4.18,0,105.82,0,11.125,0.146381579,206,188,6.5,15.2,0,0,0,0,0,4.872417619,163,25
1765908196,4.197368421,0.986842105,0.039473684,4.18,0,110,0,11.125,0.146381579,206,188,6.5,15.2,0,0,0,0,0,4.872417619,164,25
1765908197,4.236842105,0.986842105,0.026315789,4.18,0,114.18,0,11.125,0.146381579,206,188,6.5,15.2,0,0,0,0,0,4.872417619,164,25
1765908198,4.25,0.986842105,0.026315789,4.152,0,118.33,0,11.25,0.148026316,210,188,6.5,15.2,0,0,0,0,0,4.905253149,165,25
1765908199,4.289473684,0.986842105,0.026315789,4.143,0,122.47,0,11.25,0.148026316,210,188,6.37,15.2,0,0,0,0,0,4.81761872,166,24
1765908200,4.342105263,0.986842105,0.052631579,4.143,0,126.62,0,11.25,0.148026316,210,188,6.37,15.2,0,0,0,0,0,4.81761872,167,25
1765908201,4.381578947,0.986842105,0.052631579,4.208,0,130.83,0,11.25,0.148026316,210,188,6.37,15.2,0,0,0,0,0,4.74318307,168,24
1765908202,4.460526316,0.986842105,0.052631579,4.208,0,135.03,0,11.25,0.148026316,208,188,6.37,15.2,0,0,0,0,0,4.74318307,169,25
1765908203,4.447368421,0.986842105,0.052631579,4.189,0,139.23,0,10.875,0.143092105,208,188,6.37,15.2,0,0,0,0,0,4.764718642,170,24
1765908204,4.473684211,0.986842105,0.052631579,4.199,0,143.42,0,10.875,0.143092105,210,188,6.37,15,0,0,0,0,0,4.753341144,171,24
1765908205,4.513157895,0.986842105,0.052631579,4.217,0,147.64,0,10.875,0.143092105,210,190,6.25,15,0,0,0,0,0,4.693319716,171,24
1765908206,4.5,0.986842105,0.052631579,4.227,0,151.87,0,10.875,0.143092105,208,190,6.25,15.2,0,0,0,0,0,4.682209104,172,24
1765908207,4.407894737,0.986842105,0.052631579,4.189,0,156.06,0,10.75,0.141447368,210,190,6.12,15.2,0,0,0,0,0,4.626409845,172,24
1765908208,4.315789474,0.986842105,0.052631579,4.189,0,160.25,0,10.75,0.141447368,210,190,6.12,15.2,0,0,0,0,0,4.626409845,172,24
1765908209,4.289473684,0.973684211,0.065789474,4.171,0,164.42,0,10.75,0.141447368,212,190,6.12,15.4,0,0,0,0,0,4.646360351,172,24
1765908210,4.25,0.973684211,0.065789474,4.161,0,168.58,0,10.625,0.139802632,208,190,6.12,15.4,0,0,0,0,0,4.657534247,172,24
1765908211,4.184210526,0.973684211,0.065789474,4.152,0,172.73,0,10.625,0.139802632,210,190,6.12,15.4,0,0,0,0,0,4.667622563,172,24
1765908212,4.184210526,0.973684211,0.065789474,4.161,0,176.89,0,10.875,0.143092105,210,190,6.12,15.4,0,0,0,0,0,4.657534247,172,24
1765908213,4.184210526,0.973684211,0.078947368,4.171,0,181.07001,0,10.875,0.143092105,210,190,6.25,15.4,0,0,0,0,0,4.745057548,171,24
1765908214,4.25,0.973684211,0.065789474,4.152,0,185.21001,0,10.875,0.143092105,210,190,6.25,15.4,0,0,0,0,0,4.766771409,170,24
1765908215,4.236842105,0.973684211,0.065789474,4.133,0,189.35001,0,10.875,0.143092105,210,188,6.25,15.2,0,0,0,0,0,4.738294517,170,24
1765908216,4.210526316,0.973684211,0.052631579,4.115,0,193.46001,0,10.875,0.143092105,210,188,6.37,15.2,0,0,0,0,0,4.850376913,170,24
1765908217,4.197368421,0.986842105,0.052631579,4.106,0,197.57001,0,11,0.144736842,210,186,6.5,15.4,0,0,0,0,0,4.907438166,170,24
1765908218,4.157894737,0.986842105,0.052631579,4.068,0,201.64,0,11,0.144736842,210,186,6.62,15.4,0,0,0,0,0,5.044731989,170,24
1765908219,4.157894737,0.986842105,0.052631579,4.068,0,205.7,0,11.125,0.146381579,212,186,6.62,15.4,0,0,0,0,0,5.044731989,170,24
1765908220,4.157894737,0.986842105,0.052631579,4.115,0,209.82001,0,11,0.144736842,212,186,6.62,15.4,0,0,0,0,0,4.987117868,171,24
1765908221,4.157894737,0.986842105,0.039473684,4.152,0,213.98,0,11,0.144736842,210,186,6.5,15.4,0,0,0,0,0,4.853100385,171,24
1765908222,4.197368421,1,0.039473684,4.189,0,218.16,0,11.125,0.146381579,212,186,6.5,15.4,0,0,0,0,0,4.810218384,171,24
1765908223,4.263157895,0.986842105,0.039473684,4.189,0,222.35001,0,10.75,0.141447368,212,188,6.37,15.4,0,0,0,0,0,4.764718642,171,24
1765908224,4.289473684,0.986842105,0.039473684,4.236,0,226.59,0,10.75,0.141447368,212,188,6.25,15.4,0,0,0,0,0,4.623088815,172,24
1765908225,4.381578947,0.986842105,0.052631579,4.245,0,230.83,0,10.5,0.138157895,210,190,6.25,15.4,0,0,0,0,0,4.662335047,172,24
1765908226,4.368421053,0.986842105,0.052631579,4.255,0,235.09,0,10.375,0.136513158,210,190,6.12,15.4,0,0,0,0,0,4.55465587,172,24
1765908227,4.368421053,0.986842105,0.052631579,4.236,0,239.32001,0,10.375,0.136513158,212,190,6.25,15.4,0,0,0,0,0,4.672268405,173,24
1765908228,4.447368421,0.986842105,0.052631579,4.227,0,243.55,0,10.25,0.134868421,212,190,6.25,15.4,0,0,0,0,0,4.682209104,173,24
1765908229,4.460526316,0.986842105,0.052631579,4.236,0,247.78999,0,10.5,0.138157895,212,190,6.25,15.4,0,0,0,0,0,4.672268405,173,24
1765908230,4.447368421,0.986842105,0.052631579,4.236,0,252.02,0,10.5,0.138157895,210,188,6.25,15.4,0,0,0,0,0,4.623088815,173,24
1765908231,4.421052632,0.986842105,0.052631579,4.227,0,256.25,0,10.375,0.136513158,210,188,6.25,15.4,0,0,0,0,0,4.632924153,174,24
1765908232,4.381578947,0.986842105,0.052631579,4.217,0,260.47,0,10.5,0.138157895,210,188,6.25,15.4,0,0,0,0,0,4.643905339,174,24
1765908233,4.394736842,0.986842105,0.039473684,4.217,0,264.67999,0,10.5,0.138157895,212,188,6.25,15.4,0,0,0,0,0,4.643905339,174,24
1765908234,4.394736842,0.986842105,0.039473684,4.217,0,268.89999,0,10.5,0.138157895,212,188,6.25,15.6,0,0,0,0,0,4.643905339,174,24
1765908235,4.381578947,0.973684211,0.039473684,4.217,0,273.12,0,10.625,0.139802632,210,190,6.25,15.6,0,0,0,0,0,4.693319716,174,24
1765908236,4.407894737,0.973684211,0.026315789,4.199,0,277.32001,0,10.625,0.139802632,208,188,6.37,15.6,0,0,0,0,0,4.753341144,175,24
1765908237,4.434210526,0.986842105,0.013157895,4.208,0,281.53,0,10.875,0.143092105,208,190,6.37,15.6,0,0,0,0,0,4.793654616,175,24
1765908238,4.447368421,0.973684211,0.013157895,4.236,0,285.76001,0,10.625,0.139802632,210,190,6.25,15.6,0,0,0,0,0,4.672268405,175,24
1765908239,4.5,0.973684211,0.039473684,4.255,0,290.01999,0,10.625,0.139802632,210,190,6.25,15.6,0,0,0,0,0,4.651405096,176,24
1765908240,4.513157895,0.973684211,0.065789474,4.32,0,294.34,0,10.625,0.139802632,208,190,6.25,15.6,0,0,0,0,0,4.581406089,176,24
1765908241,4.486842105,0.986842105,0.065789474,4.385,0,298.72,0,10.5,0.138157895,208,190,6.25,15.6,0,0,0,0,0,4.513482675,176,24
1765908242,4.526315789,0.986842105,0.092105263,4.413,0,303.14001,0,10.5,0.138157895,206,190,6.37,15.4,0,0,0,0,0,4.570961122,176,24
