Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,heart_rate,temperature,,,,,
1764754989,0,0,0,1.316,0,1.08,0,0,0,0,0,0,9.4,0,0,0,0,0,0,90,27,,,2,1.035756003,1.93911007
1764754990,1.421052632,0,0,1.418,0,2.71,0,0,0,662,110,0,9.4,0,0,0,0,0,0,89,27,,,3,,
1764754991,1.723684211,0.789473684,0.026315789,1.418,0,5.15,0,0,0,636,118,0,9.2,0,0,0,0,0,0,89,27,,,4,,
1764754992,1.973684211,0.789473684,0.026315789,1.596,0,8.54,0,0,0,562,126,6.12,9.2,0,0,0,0,0,8.052631579,88,27,,,5,,
1764754993,2.394736842,0.868421053,0.065789474,2.221,0,11.1,0,6.75,0.088815789,456,136,6,9.2,0,0,0,0,0,6.123386233,88,27,,,6,,
1764754994,2.486842105,0.907894737,0.065789474,2.585,0,11.1,0,7.625,0.100328947,426,140,6.12,9.2,0,0,0,0,0,5.524163703,88,27,,,7,,
1764754995,2.697368421,0.907894737,0.105263158,2.641,0,16.28,0,7.625,0.100328947,390,146,6,9.2,0,0,0,0,0,5.528221571,88,27,,,8,,
1764754996,2.960526316,0.921052632,0.171052632,2.641,0,19.24,0,8,0.105263158,350,154,6,9.2,0,0,0,0,0,5.831130462,88,27,,,9,,
1764754997,3.197368421,0.921052632,0.171052632,2.734,0,19.24,0,8,0.105263158,286,170,6,9.4,0,0,0,0,0,6.218003192,89,27,,,10,,
1764754998,3.368421053,0.921052632,0.171052632,2.734,0,24.46,0,8,0.105263158,284,172,6.12,9.4,0,0,0,0,0,6.416977729,89,27,,,11,,
1764754999,3.473684211,0.986842105,0.171052632,2.753,0,26.1,0,9,0.118421053,280,172,6.12,9.4,0,0,0,0,0,6.372676628,90,27,,,12,,
1764755000,3.407894737,0.986842105,0.223684211,2.669,0,29.14,0,9,0.118421053,278,172,6.25,9.4,0,0,0,0,0,6.712851082,91,27,,,13,,
1764755001,3.315789474,0.986842105,0.223684211,2.622,0,31.26,0,9.5,0.125,278,172,6.25,9.4,0,0,0,0,0,6.833214891,92,27,,,14,,
1764755002,3.236842105,0.986842105,0.223684211,2.463,0,33.62,0,9.5,0.125,280,172,6.12,9.4,0,0,0,0,0,7.12298793,93,27,,,15,,
