out_fit_name,start_time,start_date_stockholm,sport,sub_sport,accepted_by,avg_speed_mps,total_distance_m,total_elapsed_time_s,total_timer_time_s,manufacturer,product,serial_number,source_file,source_member,fit_sha1
2014-07-01_12-11-52_6c686cd4ce.fit,2014-07-01T12:11:52,2014-07-01,running,generic,sport_running,3.0697035054879485,4352.33,1423.975,1417.834,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-07-554Z.GarminPush.933335912.fit.gz,6c686cd4cec26a75bd9c46a3edf41404b0c120c4
2014-06-19_10-28-55_72fb832094.fit,2014-06-19T10:28:55,2014-06-19,running,generic,sport_running,3.026184630079923,9162.24,3027.654,3027.654,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-16-444Z.GarminPush.922472681.fit.gz,72fb8320947ddb92b777b80ec7da4eb057cd1d7b
2014-06-24_12-33-14_c6f6cf12d7.fit,2014-06-24T12:33:14,2014-06-24,running,generic,sport_running,3.2091911020898216,967.6,301.509,301.509,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-18-050Z.GarminPush.927189300.fit.gz,c6f6cf12d7252e45d2fcf088516ffc4987edb7b0
2014-06-29_14-43-39_d61af42a9c.fit,2014-06-29T14:43:39,2014-06-29,running,generic,sport_running,3.631206621041027,15006.92,4397.637,4132.764,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-19-298Z.GarminPush.931648055.fit.gz,d61af42a9cb745172ce399969e5be7941fe76970
2014-06-10_12-12-52_4090dc45d7.fit,2014-06-10T12:12:52,2014-06-10,running,generic,sport_running,3.3226620461275567,5008.82,1507.472,1507.472,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-19-780Z.GarminPush.914838328.fit.gz,4090dc45d73f36af395b5e5757f5e9d4c5ffa656
2014-07-21_14-52-57_6eb06028e1.fit,2014-07-21T14:52:57,2014-07-21,running,generic,sport_running,3.5145054275065784,5003.51,1477.92,1423.674,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-20-493Z.GarminPush.952173772.fit.gz,6eb06028e1c24e5ce9885636f6642ff737354567
2014-08-08_17-28-30_976d274406.fit,2014-08-08T17:28:30,2014-08-08,running,generic,sport_running,3.3513222835773377,12252.26,3789.726,3655.948,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-19-956Z.GarminPush.970847294.fit.gz,976d2744067f5c939191acb8d011575733e506a8
2014-07-31_07-16-58_8d6108fa9d.fit,2014-07-31T07:16:58,2014-07-31,running,generic,sport_running,3.3181625393123824,11007.47,3618.709,3317.339,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-21-977Z.GarminPush.961925828.fit.gz,8d6108fa9dfce5c6b1b8a8b96715006b16f9e8c4
2014-06-21_08-00-45_9035c3342e.fit,2014-06-21T08:00:45,2014-06-21,running,generic,sport_running,3.9481718023896835,4834.26,1224.43,1224.43,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-21-931Z.GarminPush.924003458.fit.gz,9035c3342e3d41dbce579db31de7403f7b63b92b
2014-07-04_10-35-31_fab06e55e2.fit,2014-07-04T10:35:31,2014-07-04,running,generic,sport_running,2.257302238105155,3533.45,1959.357,1565.342,garmin,,3860472803,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-22-427Z.GarminPush.952230772.fit.gz,fab06e55e20c0625d89241bfbb287d5f0af3ee63
2014-07-16_09-40-54_6809f84c03.fit,2014-07-16T09:40:54,2014-07-16,running,generic,sport_running,2.9081029371915625,8499.78,2925.647,2922.792,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-31-591Z.GarminPush.947089114.fit.gz,6809f84c033ef64e2b08082b6d9937b357d17656
2014-06-15_10-30-21_7629d966b3.fit,2014-06-15T10:30:21,2014-06-15,running,generic,sport_running,3.4751913846145914,16174.83,4654.371,4654.371,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-31-451Z.GarminPush.918880724.fit.gz,7629d966b39b722978c67fc9cb526f90945af87a
2014-07-23_09-14-49_dbc2e3a301.fit,2014-07-23T09:14:49,2014-07-23,running,generic,sport_running,2.9863710189958335,9007.77,3434.411,3016.293,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-33-244Z.GarminPush.953875617.fit.gz,dbc2e3a3010be6e12a805c0349fe16bd5c16baaa
2014-06-11_11-43-13_201718d4f0.fit,2014-06-11T11:43:13,2014-06-11,running,generic,sport_running,2.9008797075433517,4293.74,1568.48,1480.151,garmin,,3881676848,TrainingPeaksSummer2014.zip,PaulCollyer.2017-05-05-23-14-35-026Z.GarminPush.915661487.fit.gz,201718d4f0e8f9ef624491aedab9aff7fa125f85
