file,activity_name,shoe
2026-02-25_18-06-16.FIT,Midweek partial commute.,
2026-02-27_12-01-33.FIT,Easy run with Ian spectating LFOTM,
2026-03-01_11-53-23.FIT,90 minutes continuous.,
2026-03-02_19-33-58.FIT,Evening Run,
2026-03-02_17-51-32.FIT,City of Westminster Running,
2026-03-04_18-16-30.FIT,Partial commute.,
2026-03-06_13-03-19.FIT,"Lunch time effort.",
